# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	726
#@/user_id	14dcda44-4cf5-46d6-81f2-e31514a0ac9f
a 	啊	c=9 d=6.46675 t=726
neng 	能	c=1 d=0.955997 t=726
neng jie shou 	能接受	c=1 d=0.88692 t=726
ni 	你	c=1 d=0.965605 t=726
ni neng 	你能	c=1 d=0.763379 t=726
ni qu 	你去	c=1 d=0.955997 t=726
nian zhu 	念珠	c=1 d=0.83527 t=726
niu 	牛	c=1 d=0.900325 t=726
nve 	虐	c=1 d=0.771052 t=726
pan duan 	判断	c=3 d=2.74749 t=726
pan jiao 	叛教	c=1 d=0.995012 t=726
pao zhe 	跑着	c=1 d=0.97531 t=726
pei zhi 	配置	c=5 d=4.05786 t=726
pi pei 	匹配	c=1 d=0.99005 t=726
pin yin 	拼音	c=3 d=2.5609 t=726
qi 	器	c=0 d=0.0985112 t=726
qi dong 	启动	c=4 d=3.00982 t=726
qi ta 	其他	c=1 d=0.985112 t=726
qian 	前	c=1 d=0.97531 t=726
qian qi 	前期	c=2 d=1.85558 t=726
qian zuo 	前作	c=1 d=0.826959 t=726
qiao le 	巧了	c=1 d=0.937067 t=726
qie huan 	切换	c=1 d=0.946485 t=726
qu 	去	c=2 d=1.75511 t=726
qu xian 	曲线	c=1 d=0.831104 t=726
quan di tu 	全地图	c=1 d=0.970446 t=726
qun zhan 	群战	c=2 d=1.96561 t=726
ren wu 	任务	c=2 d=1.70192 t=726
ri le gou 	日了狗	c=2 d=1.83446 t=726
ri zhi 	日志	c=2 d=1.54443 t=726
ru guo 	如果	c=1 d=0.900325 t=726
ru he 	如何	c=3 d=2.36549 t=726
sa 	撒	c=1 d=0.99005 t=726
shan chu 	删除	c=2 d=1.93605 t=726
shang 	上	c=3 d=2.70015 t=726
shang dian 	商店	c=1 d=0.900325 t=726
shang yi 	上一	c=0 d=0.0729789 t=726
shang yi zuo 	上一作	c=1 d=0.733447 t=726
shao le dian 	少了点	c=1 d=0.918512 t=726
she zhi 	设置	c=0 d=0.0985112 t=726
she zhi qi 	设置器	c=1 d=0.99005 t=726
shen yuan 	深渊	c=1 d=0.97531 t=726
sheng chao 	圣巢	c=2 d=1.70505 t=726
sheng ji 	升级	c=4 d=3.4271 t=726
sheng xiao 	生效	c=1 d=0.767206 t=726
shi 	是	c=3 d=2.16832 t=726
shi 	石	c=0 d=0.178955 t=726
shi bie 	识别	c=1 d=0.895834 t=726
shi da zhuang 	石大壮	c=1 d=0.802519 t=726
shi feng yue er 	石疯悦耳	c=1 d=1 t=726
shi fou 	是否	c=1 d=0.891366 t=726
shi shi 	试试	c=1 d=0.960789 t=726
shi shi shui 	试试水	c=1 d=0.882497 t=726
shou bing 	手柄	c=1 d=0.946485 t=726
shou le 	瘦了	c=1 d=0.918512 t=726
shu 	枢	c=0 d=0.0995012 t=726
shu ru fa 	输入法	c=1 d=0.951229 t=726
shua bu chu lai 	刷不出来	c=1 d=0.927743 t=726
shuang ren 	双人	c=1 d=0.946485 t=726
shui jiao 	睡觉	c=1 d=0.980199 t=726
si 	丝	c=0 d=0.0995012 t=726
si 	死	c=1 d=0.970446 t=726
si hu 	似乎	c=3 d=2.42503 t=726
si ma yi 	司马懿	c=1 d=1 t=726
si wo 	私我	c=1 d=0.960789 t=726
si zhi ge 	丝之格	c=-1 d=0.951229 t=726
si zhi ge 	丝之歌	c=34 d=23.1992 t=726
song 	送	c=0 d=0.0860708 t=726
song wo 	送我	c=1 d=0.965605 t=726
su zhu 	宿主	c=1 d=0.946485 t=726
sui pian 	碎片	c=1 d=1 t=726
suo yi 	所以	c=1 d=0.980199 t=726
suo you 	所有	c=2 d=1.79223 t=726
suo zai 	所在	c=1 d=0.918512 t=726
tan 	探	c=1 d=0.937067 t=726
te 	特	c=0 d=0.260769 t=726
te bie 	特别	c=1 d=0.995012 t=726
ti zi 	梯子	c=1 d=0.918512 t=726
tian 	天	c=1 d=0.790571 t=726
tian jia 	添加	c=3 d=2.60439 t=726
tie jiang 	铁匠	c=1 d=1 t=726
tong bu 	同步	c=2 d=1.94624 t=726
tong ge xiao 	通个霄	c=1 d=1 t=726
tong guan 	通关	c=1 d=0.802519 t=726
tong guo 	通过	c=1 d=0.99005 t=726
tu 	图	c=1 d=0.941765 t=726
tui jian 	推荐	c=1 d=0.869358 t=726
wan 	玩	c=3 d=2.13732 t=726
wan de 	玩得	c=0 d=0.0856415 t=726
wan de man le 	玩得慢了	c=1 d=0.860708 t=726
wan fa 	玩法	c=1 d=0.88692 t=726
wan le 	玩了	c=1 d=0.794534 t=726
wan wan 	玩完	c=1 d=0.891366 t=726
wang guo 	王国	c=0 d=0.0826959 t=726
wang guo bian yu 	王国便于	c=1 d=0.831104 t=726
wei da cheng 	未达成	c=1 d=0.818731 t=726
